"gene_id"	"gene_name"	"gene_biotype"	"gene_seq_start"	"gene_seq_end"	"seq_name"	"seq_strand"	"seq_coord_system"	"description"	"gene_id_version"	"canonical_transcript"	"symbol"	"entrezid"	"diffExpressed_fac"	"Rhythmicity_fac"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"diffExpressed"	"Rhythmicity_lmrAMP"	"BH.Q"	"ADJ.P"	"PER"	"LAG"	"AMP"	"amp_lmr"	"GSM4037539"	"GSM4037545"	"GSM4037540"	"GSM4037546"	"GSM4037541"	"GSM4037547"	"GSM4037542"	"GSM4037548"	"GSM4037543"	"GSM4037549"	"GSM4037544"	"GSM4037550"
ENSMUSG00000040660	Cyp2b9	protein_coding	26173411	26210661	7	1	chromosome	cytochrome P450, family 2, subfamily b, polypeptide 9 [Source:MGI Symbol;Acc:MGI:88600]	ENSMUSG00000040660.6	ENSMUST00000082214	Cyp2b9	13094	UP	Non-rhythmic	8.02683885466782	1.30251530064418	21.4680110544276	2.05400938453357e-15	8.4563566361247e-12	24.5343390255085	UP	Non-rhythmic	1	0.88041847041847	24	5	0.493312524427734	0.186699296096467	-3.70095997878189	-3.23971040197913	-3.40431085611967	-3.52099812703507	-2.84772678177471	-2.93095627402089	-3.9779431522654	-4.00586132470814	-4.56023495244441	-3.93735966451334	-3.29582364712055	-3.20725373951997
ENSMUSG00000028885	Smpdl3b	protein_coding	132732966	132757252	4	-1	chromosome	sphingomyelin phosphodiesterase, acid-like 3B [Source:MGI Symbol;Acc:MGI:1916022]	ENSMUSG00000028885.8	ENSMUST00000030709	Smpdl3b	100340	UP	Non-rhythmic	4.95238392567477	1.61043481604263	25.4873448705263	7.14042032623876e-17	4.40956657246875e-13	27.2476154740373	UP	Non-rhythmic	1	1	24	NA	0.122330845990845	0.157513168121428	-1.10279035930934	-0.890726927335699	-1.06870140314021	-1.7292905651361	-1.34677574414557	-1.89784173403029	-1.24680834367098	-1.00587686018586	-0.706346344567744	-1.80995756099466	-2.00336888690032	-0.905229164631906
ENSMUSG00000089694	Nat8f7	protein_coding	85706727	85713205	6	-1	chromosome	N-acetyltransferase 8 (GCN5-related) family member 7 [Source:MGI Symbol;Acc:MGI:3782661]	ENSMUSG00000089694.2	ENSMUST00000160534	Nat8f7	100043497	UP	Ambiguous	4.63572018546285	1.49495013620009	11.565244072902	2.21348092817621e-10	1.01254455347794e-07	13.9813580446871	UP	Ambiguous	0.222853595701556	0.0729854096520763	24	20	0.549398074340232	1.20438939497881	-1.00400741584955	-2.21309624020733	-0.333309840024672	-0.0328699673090345	-2.25723178516327	-2.13440210526325	-0.699969127551956	0.0254877058570592	0.0769970803216626	1.30400982052141	2.22847937145582	1.04258961231458
ENSMUSG00000020340	Cyfip2	protein_coding	46193850	46312859	11	-1	chromosome	cytoplasmic FMR1 interacting protein 2 [Source:MGI Symbol;Acc:MGI:1924134]	ENSMUSG00000020340.16	ENSMUST00000165599	Cyfip2	76884	UP	Non-rhythmic	4.21014842181875	3.73427266428891	38.5968394515299	1.87579888258847e-20	2.31679919988502e-16	32.8993959833603	UP	Non-rhythmic	0.170624402406641	0.0454224787558121	24	5	0.356975296924393	0.433732655754021	2.32246724020975	2.7129835338188	2.32308607237228	2.07187358721474	2.40029176186934	2.34077525136253	2.06405944238765	1.95958619381089	1.70825700977283	1.59656623648883	1.82200498069213	2.06884041902465
ENSMUSG00000026077	Npas2	protein_coding	39193731	39363236	1	1	chromosome	neuronal PAS domain protein 2 [Source:MGI Symbol;Acc:MGI:109232]	ENSMUSG00000026077.15	ENSMUST00000056815	Npas2	18143	DOWN	Rhythmic	-3.91880194597845	-1.38086993763308	-9.41292863501484	7.66735414187589e-09	1.75369427789461e-06	10.5264898473144	DOWN	Rhythmic	0.0406187455954898	0.00212121212121212	24	2	4.22150360344068	3.92264229638028	4.02581137157809	3.83236810745738	3.63863498693666	3.4358413257789	-1.34978354154693	-1.73713932508873	-1.84090202657957	-2.41326676205308	-2.67371563825171	-3.05417878983138	2.74410748987034	3.72579661097945
ENSMUSG00000028715	Cyp4a14	protein_coding	115486200	115496142	4	-1	chromosome	cytochrome P450, family 4, subfamily a, polypeptide 14 [Source:MGI Symbol;Acc:MGI:1096550]	ENSMUSG00000028715.2	ENSMUST00000030487	Cyp4a14	13119	UP	Ambiguous	3.79841649913541	6.07281756962965	4.51662346503774	0.000204328231168366	0.00612538345427304	0.419113071751274	UP	Ambiguous	1	1	24	NA	0.353160064233439	0.83314273151726	5.06472808741566	7.67163443551801	4.03907793998328	6.79844442957665	4.54388757618801	7.6330103058227	7.04758798337361	6.39263518838521	5.00792003521136	3.62480372867636	6.86693544536653	4.1035381895093
ENSMUSG00000059060	Rad51b	protein_coding	79297282	79814690	12	1	chromosome	RAD51 paralog B [Source:MGI Symbol;Acc:MGI:1099436]	ENSMUSG00000059060.15	ENSMUST00000079533	Rad51b	19363	UP	Non-rhythmic	3.71877378992471	0.466341016493634	10.119789983567	2.26051826085161e-09	6.97991525994457e-07	11.7239340401886	UP	Non-rhythmic	1	1	24	NA	0.0775109066838486	0.128337559198283	-0.875241803934189	-0.648138905994822	-1.76829973634867	-0.808425893980682	-1.06864615355637	-1.78813496449437	-0.319841695339348	-0.806611137117475	-1.65762100786439	-1.6253466492588	-0.750443821012045	-0.964155720821578
ENSMUSG00000072944	Nup62cl	protein_coding	140006805	140062712	X	-1	chromosome	nucleoporin 62 C-terminal like [Source:MGI Symbol;Acc:MGI:2685565]	ENSMUSG00000072944.11	ENSMUST00000101212	Nup62cl	279706	UP	Non-rhythmic	3.54845183297627	1.46004935549145	14.4684370665156	3.78753796717798e-12	4.25271649387412e-09	17.8457775205294	UP	Non-rhythmic	0.378847460782945	0.17020683020683	24	14	0.204979139397119	0.525376104007565	-0.700531607840351	-0.363327006910984	-0.780563575968214	-0.145184314933482	-0.496854187115253	0.798748988841618	1.26082131720786	-0.0734427279720135	-0.283666924590878	1.2288142331889	-0.0417565217364093	0.0934323419143906
ENSMUSG00000096688	Mup17	protein_coding	61591929	61595871	4	-1	chromosome	major urinary protein 17 [Source:MGI Symbol;Acc:MGI:3705217]	ENSMUSG00000096688.1	ENSMUST00000107484	Mup17	c(100039089, 100039206)	DOWN	Non-rhythmic	-3.44881028964992	6.95791655802297	-3.72684507972724	0.0013072670062617	0.0238846964413288	-1.40067098394399	DOWN	Non-rhythmic	1	1	24	NA	0.183194770025458	0.229457189383244	8.43446531187003	7.44773956823381	8.05780380840927	8.93460125296242	6.3384748193309	6.98986981276116	6.97164997100081	9.07952864362984	8.00345751329492	8.40402559481163	6.76748367705287	8.51896966781591
ENSMUSG00000038550	Ciart	protein_coding	95878503	95882251	3	-1	chromosome	circadian associated repressor of transcription [Source:MGI Symbol;Acc:MGI:2684975]	ENSMUSG00000038550.10	ENSMUST00000159739	Ciart	229599	UP	Rhythmic	3.37959697707584	3.30580415575646	11.7738858749123	1.61130910727845e-10	8.2921994933317e-08	14.2873741391406	UP	Rhythmic	0.0224306481652453	0.000383197049863717	24	14	3.64684569448475	3.33007660251318	-1.61259650627718	-1.24822143510498	-1.51366986424456	-1.21058444327977	2.58985699528673	3.94683419774249	4.41755226157281	5.02834367509314	2.91107344068508	2.33303297358222	0.381571566999949	-0.565394968607684
