"gene_id" "gene_name" "C_0_1" "C_0_2" "C_0_3" "C_0_4" "C_0_5" "C_04_1" "C_04_2" "C_04_3" "C_04_4" "C_04_5" "C_08_1" "C_08_2" "C_08_3" "C_08_4" "C_08_5" "C_12_1" "C_12_2" "C_12_3" "C_12_4" "C_12_5" "C_16_1" "C_16_2" "C_16_3" "C_16_4" "C_16_5" "C_20_1" "C_20_2" "C_20_3" "C_20_4" "C_20_5" "KO_0_1" "KO_0_2" "KO_0_3" "KO_0_4" "KO_0_5" "KO_04_1" "KO_04_2" "KO_04_3" "KO_04_4" "KO_04_5" "KO_08_1" "KO_08_2" "KO_08_3" "KO_08_4" "KO_08_5" "KO_12_1" "KO_12_2" "KO_12_3" "KO_12_4" "KO_12_5" "KO_16_1" "KO_16_2" "KO_16_3" "KO_16_4" "KO_16_5" "KO_20_1" "KO_20_2" "KO_20_3" "KO_20_4" "KO_20_5"
"1" "ENSMUSG00000020893" "Per1" 3.01333791470727 2.9289985931371 3.36251955049627 2.34399092179096 3.44768249376364 3.97177812539654 4.16283279614554 3.45834190969987 2.91553675258858 3.53930927938698 4.15723417147016 4.28096898170295 5.01024413567023 4.25922953411334 4.37185632880262 5.1351387652901 4.93783302456723 5.04684046723056 5.16647143184909 4.71742068074594 3.7319016736928 3.90454474243933 4.11437046237746 3.65187549515494 3.82427011765733 3.7008697870764 3.3083621527625 3.1504052871936 3.20030481050418 3.2994650581062 2.71803847018696 3.40591352903588 3.10836925812043 3.25281092949049 2.79611389365004 3.10376913856827 3.26114553733345 3.3840963074774 2.97860552992569 2.88940509338638 3.85388353564284 3.98321694162707 3.25277859872849 3.29097254824013 4.74604024433397 4.26355050476998 4.74756298404241 4.37746177125813 4.55963764803069 4.96426069256659 3.02952194404229 3.72225284774028 3.45382217462153 3.90110556718778 3.98086607983541 3.8057676670073 3.40121502143928 2.97858221041034 3.72543777267927 3.78894675097357
"2" "ENSMUSG00000055866" "Per2" 4.47730649136391 4.55127698235331 4.88350951434467 4.79672536110228 4.91612112910429 4.13577255342135 4.94316485709438 4.76543824974573 3.35541714044352 4.26746651847022 5.23867470436265 5.40144546231647 5.28219472699438 5.33308496098805 5.33296396695352 6.00233456955668 6.47327547861147 6.07758101824157 6.01991632016594 6.05053339100694 6.36927751170785 6.33341479268273 6.1788728075853 5.91548565788067 5.80577965042792 5.37939153199084 5.42369298572864 4.54383406640085 5.178225494804 5.73455705761706 5.74923884159726 5.53043019675919 5.86521897367636 5.63536495385035 5.38888027993646 4.67166245892937 4.7098640551947 4.54611177532491 4.38944636983159 4.58979687244084 4.75004092385478 4.72051056365052 4.72296918428335 4.67845290186071 4.68015094546882 5.21907066482434 5.34769056893407 5.55264014469578 5.31296817054979 5.32628201421889 6.04631811450101 5.96277063388962 5.66094729912851 5.69754466562867 5.6085135974283 5.34701624966153 5.72861432547676 5.52849351582246 5.51421922263577 5.3302190187231
"3" "ENSMUSG00000028957" "Per3" 3.40547934578384 3.51536692874366 3.78730832807305 3.95011042302715 4.45952870285956 5.34110695092781 5.69776994060436 5.4049166216025 4.88187189491399 5.13587413054035 5.80364632541296 5.92659364495606 6.00229202186746 5.92717781399463 6.07220111786702 6.18586523007192 6.02050303057822 5.95524527769526 6.21909387730123 6.1188269899286 5.39835097287135 5.73369306394823 5.45539462452899 4.79052021554437 4.91321288855278 3.70528220871729 4.14294195280548 3.23544175179335 3.79442023446155 3.94988705264964 3.01234754426761 3.32211523042088 2.98853328097662 3.11607780891552 3.02358170837972 3.17205156090445 2.99184354389358 3.21374964791273 3.26847331179761 3.35374018877365 4.12158106076062 4.09648372401151 3.65846542353767 4.28378174401908 3.97507262066272 4.53178675139159 4.46162264382664 4.3934953589366 4.43055981110188 4.64965609363891 4.30685452441741 3.8679541094627 4.14415208955201 4.10361775982798 4.30816328355961 3.55430006838322 3.27887767915398 3.40512631223101 3.18956929592062 3.4449036416918
"4" "ENSMUSG00000020038" "Cry1" 4.04983430336372 3.79385998603672 3.58658679657237 3.43776331686741 3.35035005214905 1.05579753072612 1.8617015141769 1.53081034572092 1.53217583661808 1.81266720908103 2.75333745765251 2.87568398428573 2.52752054763648 3.20356712922936 2.6677167203837 3.52005220050886 3.77907359959467 4.11653106372095 3.94558464796225 3.87020632559579 4.59318172778323 4.44406383305891 4.50986147279182 4.72800094244992 4.6620535947316 4.79665450488251 4.80390157711534 4.43951364084898 4.47983918935358 4.66102927374062 5.067014979939 5.13240364468058 5.16938529518446 5.31547961694605 5.06295755120038 4.89955921021769 5.08028395628417 4.84681950269362 4.92063516558807 4.84943320960191 4.87033474802303 4.75853642697323 4.90167065896641 4.86268425478472 5.06771179792207 5.00471200732388 5.05487311973282 5.16141975392574 5.11704163618436 4.90940251838026 5.19612781736263 5.33286285746032 5.30593827192134 5.27811709374597 5.28076038255427 5.36084167666907 5.32109948809949 5.12827251345798 5.2454203407847 5.05006741633816
"5" "ENSMUSG00000068742" "Cry2" 3.76274013085176 3.65527720099091 3.5009475913271 3.41282356190412 3.84492921486308 4.25254304769561 4.25513205107176 4.24022485743944 4.21217882542402 4.34430390634567 4.65770930718213 4.68914975808812 4.72063501926935 4.93406056212146 4.72549224146429 4.96449903707938 4.96381074753505 4.79553377158748 5.08056642284692 5.04543819389288 4.85544844904053 4.84076018717816 4.74379364515134 4.64617879004025 4.80686231286634 4.73844675239247 4.55551404550811 4.27792838201799 4.37561671256909 4.34778786952274 4.79306727792172 4.78317050560998 4.7369087944476 4.83643463776782 4.64444213747932 4.90116444233704 5.10183133395215 4.99515095343109 5.10874723111888 5.11923896674456 5.0004739497893 5.06670337958055 4.93844321914486 5.22144076331773 5.26543243107025 4.99440963404529 5.19729908161351 5.15017726643465 5.11002287751647 5.31293552735099 4.94854749143952 5.02706125306598 4.97769495523103 5.11870229048848 5.19128500844102 5.08891825841039 4.86840190922787 4.93639632597827 4.89893504994833 4.88711135067954
"6" "ENSMUSG00000055116" "Arntl" 5.38112778132999 5.15418089518105 5.18767100678406 5.34377192299154 4.54352465512117 3.0515380048852 2.01953970434646 2.19319868296856 3.61720023980484 3.19005001577799 1.67239693613225 0.987483387524742 0.930700474613124 1.05338167298529 0.823619705847536 0.746238402276583 0.659028520729456 2.03248300502423 0.495979298197229 0.695953077872059 3.20608421213765 3.38497999029783 3.60993189648637 4.63422786448506 4.5024387768583 5.10492830395237 4.74205574135362 5.30627596641636 5.2693314307572 4.94957285259799 3.86369310029675 4.17099148431462 4.02419331164485 4.22111263756888 3.90481897850797 3.67022504467691 3.78378655219666 3.7409763317182 3.65780334525903 3.5472884884193 3.38453317381458 3.6758717853372 3.75056757685391 3.65833242146999 3.6578250820367 3.74789590819137 3.47814587758766 3.39376250324106 3.43250449676942 3.26170423199631 3.6660360809582 3.51414939881415 3.92058493607243 3.9422962505398 3.77695305242299 3.89395599057095 4.08284194400448 3.96391148800021 3.91167595939123 3.9687045664803
"7" "ENSMUSG00000029238" "Clock" 6.91997576459457 7.11129864124303 7.21020110921283 7.25732886670317 6.80835307089545 6.69185358936867 6.64347228144473 6.37723806883545 6.52717435395595 6.84479791156568 6.63519547711605 6.44764974826659 6.21591719132343 6.17199159188915 6.44148067352535 6.58853402034919 6.21921767081276 6.74049121887567 6.1416603751767 6.53726402264544 6.9745204134809 6.70161435802688 6.96982138683472 7.13525706915196 6.7755475355044 6.93152057361397 6.855158888439 7.26133763807217 7.2564466906571 7.29718551408822 7.1238465073743 7.36076503406865 7.32931856592198 7.40719205730481 7.48238719586408 6.99605823690593 6.86623505911373 7.12604405949863 7.05067014488121 7.20150230802347 6.78292761504135 6.9890400196794 7.07121556980157 6.93817743501294 6.9536056132884 7.02957175081495 7.16536408181716 6.84705315943562 6.85920368916012 6.987573960815 7.28208336288309 7.15133740420915 7.28255821752109 7.11359757256937 7.21628862463988 7.4276116677863 7.04748524648449 7.31046450296873 7.13241277581593 7.308503367034
"8" "ENSMUSG00000026077" "Npas2" 4.031519628103 3.49610003969987 3.81051135367009 3.72631110137501 2.64043010033663 1.64432855057517 0.832160039303858 0.761818879076716 2.73780542678602 2.20137057373442 -0.0759780217031584 -0.539002868190551 0.288408431254538 -0.560732321440417 -0.583134384873885 -0.935742057331754 -0.258210288521936 0.0476127872665797 -1.04320797682803 -0.779586068951981 1.11919456319421 1.35831399412185 1.51205645834295 1.81860673537416 2.68919382325764 3.39789710573977 2.85418256490621 4.07295081291424 3.63907581365181 3.06854755955715 4.95773052432615 4.89115320064073 4.73057407334234 4.97667266697554 4.77149309054213 4.98142910649258 5.21178227230805 5.03876502341613 5.08026542944937 5.23997561558501 5.29361237261416 5.2364820952146 4.8569924569444 5.07418577643227 5.20281872659867 5.04841608634405 5.05788410771329 4.75758879014283 4.96530916213752 4.95976611243986 4.9770278960127 5.10557968795557 4.86354908529231 5.10729164901964 5.03744085955553 5.13990738105609 5.20890329241234 5.07151666084897 5.04215589175519 5.04981321419186
"9" "ENSMUSG00000020889" "Nr1d1" 3.35249428230951 3.29024534157588 4.38307978714195 3.78121453873717 3.86292517484651 5.61236990399242 5.96414932674683 5.72788572108216 6.15062733741766 5.78108158550917 5.36912360516465 5.09814705164335 5.54130209325601 5.26874586123892 5.74255761166866 4.87724816566194 4.57491068373781 3.53222389651001 4.33637743761873 4.44254612577856 2.26720902214193 2.8627510304288 2.23015201086177 2.51328295293981 1.85814794307989 1.22133917896926 2.07970447787037 2.60686961220584 1.55073858460087 1.63103819453697 1.97881943366682 1.29853237336536 1.26615083747451 0.705837032580879 1.71325961092913 3.61293917307611 2.95973943298756 3.67624096358506 3.71718424059608 3.5021239816205 4.35246258353113 4.15897333990496 4.01589356131966 4.29157004517147 4.21786198087656 3.48156843748321 3.91317306497709 3.41848282421985 3.35343561873708 3.74772450383746 1.72508002931889 0.916465565550247 1.87497881586826 2.232075298555 1.90509496379759 1.87580576673488 0.876925814921443 1.11723782838577 0.211041810141666 1.11154276718943
"10" "ENSMUSG00000059824" "Dbp" 0.900758579790664 1.20739780259533 0.916332218304519 1.07789499879208 2.54558564984083 5.286120779331 5.88684242747841 5.52440646801857 4.94091707720836 5.20410714288945 5.90454432777042 5.87145207310585 5.93981006953388 5.92016877632058 6.36742391988726 6.04399992431003 5.69411444864014 4.98082284904596 6.01493610870028 5.73435045981784 3.29543974563835 3.8595057567888 3.09605698606715 2.60249487975444 2.6558825916262 1.01545365673457 1.78655928045157 1.32828693107357 1.16603276853206 1.23975165095533 1.76637074266973 1.43570348124744 0.79778500294202 0.938624818817862 1.5308159366825 2.09846520544484 1.74356205637597 2.0921289102652 2.23629108302694 2.33272175738441 4.01320740910305 3.69750445624357 3.66402458920698 3.9472647892158 3.5837355274316 4.10592359834744 3.71466831149213 3.99129887128076 3.83975506400857 3.94513699538966 1.89596240549006 1.54631527290556 1.92430125727646 2.13368909288367 1.71115759786902 1.59075291146745 1.05469583745614 1.08291186535106 1.36521291336381 1.57507081439493
