Probe	GSM4037539	GSM4037545	GSM4037540	GSM4037546	GSM4037541	GSM4037547	GSM4037542	GSM4037548	GSM4037543	GSM4037549	GSM4037544	GSM4037550
ENSMUSG00000025902	1.64781059638226	1.68839425338685	1.67389816803111	1.21733332720283	1.48917916644318	1.34256165414837	1.44325192016526	1.48140598765752	1.65599149702684	1.61160510593943	1.60190143673608	1.74840221191724
ENSMUSG00000033845	5.51878089410341	5.57706645516064	5.32624196087499	5.55454303823281	5.45364830529658	5.45787858537935	5.43621877360896	5.530958102625	5.87455727741164	5.78469605734674	5.82208220507482	5.58844152396365
ENSMUSG00000025903	5.94342634141712	6.53497999817198	5.88332881535618	6.06530052163517	6.3641664872315	6.19468248201712	6.55364453826739	6.27912320423555	6.28880034901242	6.3752050092851	6.40084916597419	6.03891526909838
ENSMUSG00000033813	5.19965897019719	5.23789595473579	5.25875617175319	5.18358987283785	5.18543741595471	5.32451731154215	5.32769615441639	5.24323857941032	5.36171830777835	5.29065494116357	5.32411079489471	5.34876180833194
ENSMUSG00000033793	5.46761112630032	5.65366079244033	5.66390117523082	5.78886771272252	5.62977002535677	5.65042354900586	5.7182846280841	5.72754682543623	5.74052678062466	5.4760579666753	5.72003692689131	5.61132832350079
ENSMUSG00000025907	5.87248015429368	5.82777335132334	5.81054811832208	5.90844630801413	5.95784552324895	6.07688209956874	6.22908373780172	6.0559063191314	5.70723966321067	5.74421134557994	5.61748865296438	5.68470950185172
ENSMUSG00000090031	0.802971760204323	0.726702020357784	0.69820694178585	0.976067888005998	1.00165909505353	1.01950371314873	0.761849420473899	1.23830865124899	0.878837325606908	0.210843078648513	0.0194895711818853	0.942793151947925
ENSMUSG00000051285	7.08958188554037	7.06500359388177	6.88186728416424	7.03708320063384	7.20769188504336	7.25909997460949	7.31021001220157	7.2091191721999	6.91420866167136	6.78704632868492	6.86717326204189	6.92560407699337
ENSMUSG00000103509	1.63867809251334	1.88829760362873	2.21575797000374	2.48986109927598	2.17705633876605	2.174995612518	3.08463283804261	2.58795882920312	2.65440465566317	2.86763527021182	2.34078804293199	2.82564545958078
ENSMUSG00000048538	1.43188765254268	1.08154550404281	0.92155541742687	1.31073054967475	1.11091121283772	1.59923175752775	1.43251823287384	1.50598490224294	1.98854019718948	1.99893122519843	1.91642153085784	1.47502091629338
ENSMUSG00000097797	-3.08041272719099	-2.21735659412272	-1.82439152147358	-1.40776670794966	-2.86427050677229	-1.9556536982157	-2.76220856185116	-3.6746898209005	-2.77935321191621	-2.75944225933353	-1.91304596064076	-2.7739464855925
ENSMUSG00000061024	4.51537717092711	4.78370062232559	3.61232730764245	3.68047385869101	3.56931764870357	4.1047260635902	3.85215278854484	4.1849026472424	4.72674082379794	4.68644943312714	4.40989131741643	3.7354497833985
ENSMUSG00000025911	5.99161717960001	6.32275195997484	6.31836943432884	6.39398819143934	6.4003921546381	6.44337984354463	6.25430390051005	6.38679216245496	6.2444430128091	6.05958075463265	6.43771785599149	6.21120982221362
ENSMUSG00000079671	0.153505112015338	0.0874427610665054	0.0822598215786214	0.786625304097737	1.02972949312866	0.317673872029194	0.787602261344479	0.609689279505389	-0.0422370486339701	0.12571041688225	0.237889057080239	1.08540053487962
ENSMUSG00000025912	-0.438533507943955	0.353032049084962	-1.14286849267889	-0.575440040607185	0.297391152504231	-0.736033226894741	-1.65685385605709	-0.766718235178241	-0.0994363223651169	-0.888394289651124	-0.540181262580819	-0.108412665565571
ENSMUSG00000045210	5.78748695762685	5.8195049519999	5.6957582968218	5.75961963062403	5.80309603499026	5.83618015135303	5.98004581794785	5.85409459509871	5.79466563732803	5.7910524105805	5.74745735460716	5.75343801315664
