Probe	BH.Q	ADJ.P	PER	LAG	AMP	GSM4037539	GSM4037545	GSM4037540	GSM4037546	GSM4037541	GSM4037547	GSM4037542	GSM4037548	GSM4037543	GSM4037549	GSM4037544	GSM4037550
ENSMUSG00000006356	0.00568302068302068	1.60333493666827e-06	24	0	0.6732959952422	6.08640672102322	5.98504475688649	5.49127495266938	5.46583005500233	4.95705318258833	4.97509813762898	4.04958740832505	4.31705244604983	5.3673768008306	5.08092178838391	5.93442346833794	5.90923751055134
ENSMUSG00000070644	0.00568302068302068	1.60333493666827e-06	24	12	0.460737566978828	7.2268350902255	7.30884693095631	7.71976838787233	7.55208489759594	8.08320482509813	8.05712042932163	8.27485227197645	8.53206648124584	7.94830104930889	7.82961110800312	7.3184519412	7.43162350918189
ENSMUSG00000035164	0.00568302068302068	1.60333493666827e-06	24	12	0.303138014118465	3.2305215985347	3.23857342936174	3.50141423785138	3.50001381907386	3.79399256238892	3.90690796316458	3.94051438100773	3.92265912563811	3.54587207279587	3.57320398896904	3.42617771365458	3.36529067155174
ENSMUSG00000024921	0.00568302068302068	1.60333493666827e-06	24	14	0.303035012725623	6.63281918804774	6.47578445953617	6.66751034489449	6.79230182089178	6.89297775539366	6.97170754302974	7.40663193253981	7.43272062138848	7.23406438618543	7.2325878597348	6.83590800241905	6.81162657540511
ENSMUSG00000033871	0.0104917304917305	9.62000962000962e-06	24	10	0.976821880482336	1.92870034070655	1.37709712073865	2.84234755168447	3.25144929809565	3.98336675342226	3.65426217255326	3.46227613976111	3.30045603988527	2.36655890089355	2.32983056889177	1.35278125167463	1.91902128848436
ENSMUSG00000024039	0.0104917304917305	9.62000962000962e-06	24	4	0.562695466948867	8.87118177186197	8.92586416660069	9.04399903776905	8.99009197423657	8.87325880412799	8.62400614818975	8.18242777833398	8.0370144940754	7.77446380928978	7.77419412281052	8.19432041339162	8.60468858575362
ENSMUSG00000031833	0.0104917304917305	9.62000962000962e-06	24	12	0.522028942162255	4.26889433946121	4.09617797593576	4.6870130795699	4.80061181734474	5.47551665345418	5.3658453794859	5.48443482501382	5.89679347714976	4.9253977068013	4.79195354548482	4.59379648915404	4.58541061341121
ENSMUSG00000032788	0.0104917304917305	9.62000962000962e-06	24	16	0.514841875502326	5.45714018907592	5.37512203151946	5.19487374690502	5.25524882651272	5.46263387688712	5.76700555780033	6.23542696337454	6.28549667414407	6.4636965223422	6.45620428151554	5.98334518932571	5.5847174379284
ENSMUSG00000027048	0.0104917304917305	9.62000962000962e-06	24	4	0.487823022960493	9.63272308189155	9.52433425658762	9.74474594479583	9.75501045859401	9.43580695101036	9.26690830175169	8.68009462218317	8.70681373453301	8.6118280490109	8.62397627234634	9.1389319866244	9.42067478982712
ENSMUSG00000048756	0.0104917304917305	9.62000962000962e-06	24	12	0.459623188495046	5.19501070849994	5.2219844228002	5.7066251266536	5.61180589900865	5.93501147519129	6.13939769426991	6.45037591812009	6.16356713374168	5.70518521298302	5.85620391429285	5.31681564231883	5.44498935056693
ENSMUSG00000032525	0.0104917304917305	9.62000962000962e-06	24	18	0.288520702644736	6.25652689234646	6.43892898243486	6.12403918030971	6.1496171988989	6.17248244079217	6.20610648690202	6.46229703984745	6.43891461765844	6.7687659197595	6.66455678305206	6.51137900805752	6.52920568519309
ENSMUSG00000021114	0.0104917304917305	9.62000962000962e-06	24	16	0.241580227070349	4.75079974097323	4.85583259828528	4.74660850751233	4.74827782236822	4.80437555659393	4.90063856747541	5.22445819921043	5.09244577449729	5.40990313127483	5.32646140161054	5.04055761533401	4.99083602122129
ENSMUSG00000026383	0.0104917304917305	9.62000962000962e-06	24	12	0.217472620797135	5.61723114203479	5.61693532116489	5.71731137863889	5.75600378825222	5.92562835632043	6.09017027680208	6.10622197035108	6.01091651283638	5.91574313304316	5.83719634560481	5.68851872126058	5.6180756265443
ENSMUSG00000020593	0.0113660413660414	4.1686708353375e-05	24	14	1.67438136916739	3.92684240921678	4.03790043795275	4.87664740979274	5.51390373268239	6.05828353527569	7.13217830586081	8.44746596258878	8.59747956798372	7.21904371382442	7.27761029298191	6.44712812013723	4.90967745212055
ENSMUSG00000055866	0.0113660413660414	4.1686708353375e-05	24	16	1.66771949203925	3.45022122200527	3.86620720958103	3.60460142485455	3.64794269296707	4.94868352120164	5.17156962366807	5.96061331763736	6.2247187334569	7.12788664534175	6.73507057452724	5.7131217894369	5.38703867868593
